source,date,text_raw,Likes
x_twitter,"févr. 28, 2026","I think today I finally give up the shoe game been down since 01 today with ain’t no way these websites don’t work on release date ever I buy so many shoes on JD but today my address couldn’t be verified 
@jdsportsus
 
@FinishLine
 
@nikestore
 
@Nike
 
@shopWSS
  
@footlocker",0
x_twitter,"févr. 28, 2026","Whats the point of even fucking have 
@Nike
  #sneakerapp 2026 and you still gotta pray you selected to win some damn shoes tf out of here.. just give me a pair of #airforce1s difficult as fuck to buy a damn pair of jordan ..oh well next",0
x_twitter,"févr. 27, 2026","The only 2 shoes I wanted this year. Thanks for nothing 
@nikestore
 
@Nike
 
@nikebasketball",0
x_twitter,"févr. 26, 2026","Bought these shoes less than a month ago and they've already fallen apart. 
@Nike

@nikestore",0
x_twitter,"janv. 31, 2026","
@Nike
 still have not purchased one darn thing since you were exposed AND WENT SILENT!  Best part: I’m the Mom of 3,youngest of seven, Aunt of 23… and 
@UnderArmour
 became the favorite again!!! (Winter gear, work out sets, socks and shoes!) Nike 👎",0
x_twitter,"janv. 31, 2026","Upset I didn’t know these 
@Nike
 shoes were dropping 
@Costco
.  Hate I missed out",0
x_twitter,"janv. 31, 2026","Fabulous shoes on an amazing player.  🔥🔥🔥🔥.  Sign me up. 
@Nike",0
x_twitter,"janv. 31, 2026","Hello runners! pls beware..buy running shoes from authentic branded stores or company's own website only. Don't fall prey to the so-called discounts on other channels, ultimately it's your own legs & running performance that matters. 
@Nike
, 
@adidas
 , 
@newbalance
 , 
@SkechersIndia",0
x_twitter,"janv. 30, 2026","I need some new everyday shoes for my new job so i went on 
@Nike
 and 
@adidas
 

And omg yall. They new shoes are soooooooooooo atrocious lol. Have y’all seen them??????",0
x_twitter,"janv. 30, 2026","Just a kid who got in trouble for drawing shoes and cars in High School… 

Two colorways of the 
@luecreates
 designed, motorsports Inspired, 
@Nike
 Kids Air Max 90 Tee available now at 
@DICKS
 🫡

Starting our fourth full year in business with a Nike Drop is crazyyy",0
x_twitter,"janv. 30, 2026","What’s poor service, ordered shoes on 15th Jan, 2026 in Dubai . Shows shipped and never delivered. On checking online status on 29th, it shows shipped, delivery soon. Upon checking with customer care on 30th Jan, it says the order was cancelled by our courier. What ?? 
@Nike",0
